object_name,original_resolution_width,original_resolution_height,effective_resolution_width,effective_resolution_height,mAP,degradation_factor,GSD,pixels_on_target,knee
Fixed-wing Aircraft,640,640,32,32,0.0,0.05,5.999999999999999,9,False
Small Aircraft,640,640,32,32,0.0,0.05,5.999999999999999,4,False
Cargo Plane,640,640,32,32,0.0,0.05,5.999999999999999,37,False
Helicopter,640,640,32,32,0.0,0.05,5.999999999999999,5,False
Passenger Vehicle,640,640,32,32,0.0,0.05,5.999999999999999,1,False
Small Car,640,640,32,32,0.0,0.05,5.999999999999999,1,False
Bus,640,640,32,32,0.0,0.05,5.999999999999999,2,False
Pickup Truck,640,640,32,32,0.0,0.05,5.999999999999999,1,False
Utility Truck,640,640,32,32,0.0,0.05,5.999999999999999,1,False
Truck,640,640,32,32,0.0,0.05,5.999999999999999,2,False
Cargo Truck,640,640,32,32,0.0,0.05,5.999999999999999,2,False
Truck w/Box,640,640,32,32,0.0,0.05,5.999999999999999,4,False
Truck Tractor,640,640,32,32,0.0,0.05,5.999999999999999,2,False
Trailer,640,640,32,32,0.0,0.05,5.999999999999999,3,False
Truck w/Flatbed,640,640,32,32,0.0,0.05,5.999999999999999,3,False
Truck w/Liquid,640,640,32,32,0.0,0.05,5.999999999999999,3,False
Crane Truck,640,640,32,32,0.0,0.05,5.999999999999999,3,False
Railway Vehicle,640,640,32,32,0.0,0.05,5.999999999999999,5,False
Passenger Car,640,640,32,32,0.0,0.05,5.999999999999999,5,False
Cargo Car,640,640,32,32,0.0,0.05,5.999999999999999,3,False
Flat Car,640,640,32,32,0.0,0.05,5.999999999999999,4,False
Tank car,640,640,32,32,0.0,0.05,5.999999999999999,3,False
Locomotive,640,640,32,32,0.0,0.05,5.999999999999999,5,False
Maritime Vessel,640,640,32,32,0.0,0.05,5.999999999999999,32,False
Motorboat,640,640,32,32,0.0,0.05,5.999999999999999,2,False
Sailboat,640,640,32,32,0.0,0.05,5.999999999999999,3,False
Tugboat,640,640,32,32,0.0,0.05,5.999999999999999,12,False
